REPORTE DE DATOS - INCIZO NUMÉRICOS
=============================================
Registro [1]: Valor = 34 | Carga: 00:03
Registro [2]: Valor = 24 | Carga: 00:03
Registro [3]: Valor = 24 | Carga: 00:03
Registro [4]: Valor = 23 | Carga: 00:03
Registro [5]: Valor = 42 | Carga: 00:03
Registro [6]: Valor = 4 | Carga: 00:03
Registro [7]: Valor = 24 | Carga: 00:03
Registro [8]: Valor = 2 | Carga: 00:03
Registro [9]: Valor = 42 | Carga: 00:03
Registro [10]: Valor = 42 | Carga: 00:03
Registro [11]: Valor = 4 | Carga: 00:03
Registro [12]: Valor = 24 | Carga: 00:03
Registro [13]: Valor = 2 | Carga: 00:03
Registro [14]: Valor = 42 | Carga: 00:03
Registro [15]: Valor = 34 | Carga: 00:03
Registro [16]: Valor = 23 | Carga: 00:03
Registro [17]: Valor = 423 | Carga: 00:03
Registro [18]: Valor = 423 | Carga: 00:03
Registro [19]: Valor = 4 | Carga: 00:03
Registro [20]: Valor = 2 | Carga: 00:03
